time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0.0,"[0, 1020, 293]","[1, 1011, 271]","[2, 1009, 269]","[3, 1007, 268]","[4, 1008, 274]","[5, 1004, 273]","[6, 1000, 273]","[7, 986, 268]","[8, 978, 275]","[9, 1013, 308]","[10, 1009, 311]","[11, 943, 367]","[12, 946, 361]","[13, 967, 490]","[14, 975, 496]","[15, 1051, 529]","[16, 1067, 531]","[17, 1071, 523]","[18, 1087, 527]","[19, 1090, 519]","[20, 1091, 516]","[21, 1080, 524]","[22, 1082, 520]","[23, 877, 584]","[24, 877, 587]","[25, 913, 757]","[26, 909, 780]","[27, 923, 921]","[28, 903, 965]","[29, 904, 962]","[30, 878, 999]","[31, 1033, 950]","[32, 1008, 1014]"
33.333333333333336,"[0, 1027, 305]","[1, 1017, 282]","[2, 1015, 281]","[3, 1013, 279]","[4, 1015, 285]","[5, 1011, 285]","[6, 1007, 286]","[7, 991, 281]","[8, 984, 289]","[9, 1018, 319]","[10, 1015, 322]","[11, 946, 381]","[12, 947, 375]","[13, 966, 502]","[14, 972, 519]","[15, 1058, 523]","[16, 1074, 533]","[17, 1078, 513]","[18, 1093, 529]","[19, 1095, 503]","[20, 1095, 517]","[21, 1085, 509]","[22, 1090, 521]","[23, 873, 597]","[24, 873, 600]","[25, 918, 753]","[26, 912, 782]","[27, 927, 912]","[28, 903, 971]","[29, 914, 953]","[30, 877, 1004]","[31, 1036, 934]","[32, 1006, 1021]"
66.66666666666667,"[0, 1033, 321]","[1, 1022, 301]","[2, 1019, 300]","[3, 1017, 298]","[4, 1023, 303]","[5, 1020, 303]","[6, 1017, 303]","[7, 993, 301]","[8, 993, 307]","[9, 1018, 336]","[10, 1020, 338]","[11, 945, 396]","[12, 951, 392]","[13, 970, 516]","[14, 993, 530]","[15, 1066, 527]","[16, 1091, 534]","[17, 1089, 517]","[18, 1115, 529]","[19, 1107, 507]","[20, 1114, 517]","[21, 1098, 513]","[22, 1105, 521]","[23, 864, 604]","[24, 867, 608]","[25, 918, 756]","[26, 915, 784]","[27, 929, 917]","[28, 904, 968]","[29, 914, 957]","[30, 877, 999]","[31, 1029, 941]","[32, 998, 1018]"
100.0,"[0, 1034, 337]","[1, 1026, 319]","[2, 1022, 318]","[3, 1019, 318]","[4, 1028, 322]","[5, 1025, 322]","[6, 1023, 322]","[7, 997, 323]","[8, 1004, 328]","[9, 1021, 353]","[10, 1023, 355]","[11, 954, 421]","[12, 954, 409]","[13, 982, 540]","[14, 1005, 542]","[15, 1078, 525]","[16, 1100, 537]","[17, 1103, 509]","[18, 1129, 532]","[19, 1116, 498]","[20, 1126, 518]","[21, 1108, 505]","[22, 1115, 522]","[23, 861, 611]","[24, 854, 614]","[25, 918, 750]","[26, 921, 786]","[27, 931, 909]","[28, 906, 971]","[29, 916, 946]","[30, 881, 1003]","[31, 1020, 930]","[32, 984, 1017]"
133.33333333333334,"[0, 1040, 354]","[1, 1032, 339]","[2, 1029, 339]","[3, 1026, 338]","[4, 1034, 342]","[5, 1032, 342]","[6, 1029, 342]","[7, 1005, 347]","[8, 1011, 350]","[9, 1026, 371]","[10, 1030, 373]","[11, 966, 447]","[12, 954, 428]","[13, 994, 558]","[14, 1012, 550]","[15, 1089, 526]","[16, 1111, 537]","[17, 1118, 516]","[18, 1141, 532]","[19, 1125, 507]","[20, 1136, 514]","[21, 1116, 514]","[22, 1126, 520]","[23, 855, 617]","[24, 839, 618]","[25, 919, 754]","[26, 918, 787]","[27, 928, 914]","[28, 894, 973]","[29, 913, 948]","[30, 871, 1006]","[31, 1000, 935]","[32, 956, 1012]"
166.66666666666666,"[0, 1047, 382]","[1, 1041, 369]","[2, 1038, 369]","[3, 1035, 368]","[4, 1042, 371]","[5, 1039, 371]","[6, 1037, 371]","[7, 1014, 377]","[8, 1019, 379]","[9, 1035, 398]","[10, 1037, 399]","[11, 968, 468]","[12, 969, 451]","[13, 1004, 560]","[14, 1034, 557]","[15, 1103, 544]","[16, 1121, 540]","[17, 1132, 528]","[18, 1149, 531]","[19, 1137, 521]","[20, 1142, 514]","[21, 1127, 528]","[22, 1133, 520]","[23, 843, 627]","[24, 831, 627]","[25, 920, 774]","[26, 923, 795]","[27, 926, 928]","[28, 904, 972]","[29, 909, 958]","[30, 884, 1005]","[31, 992, 942]","[32, 972, 999]"
200.0,"[0, 1056, 413]","[1, 1047, 398]","[2, 1044, 397]","[3, 1041, 397]","[4, 1049, 400]","[5, 1046, 401]","[6, 1044, 401]","[7, 1018, 403]","[8, 1024, 406]","[9, 1044, 428]","[10, 1046, 431]","[11, 966, 483]","[12, 991, 480]","[13, 1019, 569]","[14, 1047, 588]","[15, 1110, 554]","[16, 1124, 564]","[17, 1133, 536]","[18, 1149, 547]","[19, 1134, 525]","[20, 1143, 531]","[21, 1129, 532]","[22, 1134, 540]","[23, 833, 644]","[24, 831, 649]","[25, 933, 767]","[26, 950, 787]","[27, 922, 931]","[28, 914, 957]","[29, 900, 966]","[30, 885, 990]","[31, 1001, 949]","[32, 989, 986]"
233.33333333333334,"[0, 1065, 440]","[1, 1059, 424]","[2, 1056, 423]","[3, 1053, 422]","[4, 1059, 426]","[5, 1056, 426]","[6, 1053, 426]","[7, 1030, 427]","[8, 1032, 429]","[9, 1051, 455]","[10, 1051, 456]","[11, 967, 496]","[12, 996, 506]","[13, 1036, 587]","[14, 1061, 615]","[15, 1122, 560]","[16, 1127, 571]","[17, 1144, 542]","[18, 1151, 551]","[19, 1139, 531]","[20, 1139, 535]","[21, 1133, 540]","[22, 1128, 545]","[23, 824, 650]","[24, 825, 661]","[25, 956, 757]","[26, 977, 782]","[27, 917, 929]","[28, 923, 952]","[29, 890, 962]","[30, 888, 984]","[31, 992, 959]","[32, 1006, 985]"
266.6666666666667,"[0, 1062, 464]","[1, 1058, 448]","[2, 1055, 447]","[3, 1053, 446]","[4, 1057, 450]","[5, 1054, 450]","[6, 1051, 449]","[7, 1032, 451]","[8, 1031, 453]","[9, 1048, 479]","[10, 1048, 480]","[11, 970, 515]","[12, 994, 530]","[13, 1044, 596]","[14, 1057, 632]","[15, 1127, 568]","[16, 1119, 588]","[17, 1149, 553]","[18, 1143, 569]","[19, 1141, 541]","[20, 1131, 552]","[21, 1135, 549]","[22, 1120, 561]","[23, 816, 667]","[24, 818, 682]","[25, 967, 761]","[26, 973, 792]","[27, 913, 924]","[28, 907, 946]","[29, 884, 952]","[30, 873, 972]","[31, 982, 960]","[32, 982, 978]"
300.0,"[0, 1065, 487]","[1, 1062, 471]","[2, 1060, 470]","[3, 1057, 469]","[4, 1062, 473]","[5, 1059, 473]","[6, 1056, 472]","[7, 1036, 475]","[8, 1037, 477]","[9, 1052, 503]","[10, 1051, 504]","[11, 968, 533]","[12, 1001, 560]","[13, 1042, 609]","[14, 1067, 660]","[15, 1121, 572]","[16, 1117, 594]","[17, 1143, 560]","[18, 1136, 574]","[19, 1130, 549]","[20, 1124, 560]","[21, 1122, 555]","[22, 1114, 569]","[23, 804, 677]","[24, 811, 696]","[25, 967, 752]","[26, 968, 799]","[27, 912, 920]","[28, 903, 952]","[29, 884, 951]","[30, 869, 980]","[31, 977, 950]","[32, 982, 979]"
